0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
51   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/ubuntu/blacklight5/jetty/contexts at interval 0
68   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/ubuntu/blacklight5/jetty/contexts/solr.xml
234  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/home/ubuntu/blacklight5/jetty/webapps/solr.war!/ to /home/ubuntu/blacklight5/jetty/solr-webapp/webapp
6061 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/home/ubuntu/blacklight5/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-morfologik-4.6.0.jar' to classloader
6456 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrConfig  – Using Lucene MatchVersion: LUCENE_40
6703 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.Config  – Loaded SolrConfig: solrconfig.xml
6715 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – Reading Solr Schema from schema.xml
6946 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – [blacklight-core] Schema name=Blacklight Demo Index
7684 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – default search field in schema is text
7700 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – query parser default operator is OR
7702 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.schema.IndexSchema  – unique key field: id
7981 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – solr.StandardDirectoryFactory
7997 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Opening new SolrCore at /home/ubuntu/blacklight5/jetty/solr/blacklight-core/, dataDir=/home/ubuntu/blacklight5/jetty/solr/blacklight-core/data/
7998 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – JMX monitoring not detected for core: blacklight-core
